Round,a\b,G,C,P
Round 1
,G,2,0,0
,C,0,0,0
,P,98,0,0

Round 2
,G,0,0,0
,C,0,0,0
,P,2,94,4

Round 3
,G,0,92,0
,C,0,4,0
,P,0,4,0

Round 4
,G,3,2,91
,C,0,0,0
,P,0,4,0

Round 5
,G,0,0,0
,C,0,1,97
,P,0,0,2

Round 6
,G,0,0,0
,C,47,4,0
,P,2,46,1

Round 7
,G,4,33,4
,C,11,1,24
,P,15,0,8

Round 8
,G,0,1,32
,C,31,2,4
,P,0,29,1

Round 9
,G,1,29,1
,C,3,3,30
,P,29,2,2

Round 10
,G,0,6,17
,C,7,7,18
,P,14,23,8

Round 11
,G,1,12,12
,C,4,5,28
,P,16,11,11

Round 12
,G,1,12,17
,C,5,12,14
,P,7,32,0

Round 13
,G,2,6,10
,C,7,13,23
,P,17,17,5

Round 14
,G,4,7,10
,C,7,14,21
,P,8,25,4

Round 15
,G,2,13,8
,C,6,14,23
,P,13,11,10

Round 16
,G,2,11,8
,C,8,22,15
,P,10,17,7

Round 17
,G,2,16,13
,C,1,16,20
,P,11,15,6

Round 18
,G,1,12,9
,C,9,12,20
,P,4,30,3

Round 19
,G,0,20,8
,C,7,19,15
,P,1,23,7

Round 20
,G,3,15,16
,C,15,15,14
,P,5,15,2

Round 21
,G,1,21,10
,C,6,9,20
,P,9,21,3

Round 22
,G,6,16,18
,C,7,12,12
,P,4,23,2

Round 23
,G,6,15,10
,C,12,6,18
,P,13,15,5

Round 24
,G,3,17,12
,C,12,10,19
,P,9,11,7

Round 25
,G,2,16,19
,C,10,13,13
,P,3,23,1

Round 26
,G,5,16,17
,C,8,13,13
,P,10,12,6

Round 27
,G,2,32,28
,C,1,25,3
,P,2,7,0

Round 28
,G,4,11,15
,C,11,14,8
,P,12,20,5

Round 29
,G,0,12,8
,C,20,6,14
,P,14,19,7

Round 30
,G,2,9,8
,C,12,12,14
,P,14,24,5

Round 31
,G,3,10,12
,C,17,11,8
,P,11,25,3

Round 32
,G,2,20,16
,C,11,10,10
,P,6,22,3

Round 33
,G,10,9,7
,C,18,8,11
,P,13,20,4

Round 34
,G,8,11,8
,C,15,9,5
,P,15,20,9

Round 35
,G,1,21,17
,C,8,10,8
,P,18,15,2

Round 36
,G,9,8,15
,C,18,5,7
,P,10,25,3

Round 37
,G,3,1,11
,C,11,9,12
,P,18,22,13

Round 38
,G,2,11,16
,C,7,14,3
,P,15,26,6

Round 39
,G,0,17,9
,C,7,12,9
,P,18,21,7

Round 40
,G,3,13,13
,C,10,10,8
,P,13,25,5

Round 41
,G,4,15,8
,C,13,20,9
,P,10,17,4

Round 42
,G,1,21,19
,C,3,16,6
,P,4,21,9

Round 43
,G,0,23,12
,C,4,20,19
,P,2,16,4

Round 44
,G,2,20,8
,C,6,15,19
,P,3,18,9

Round 45
,G,0,19,2
,C,11,15,27
,P,2,17,7

Round 46
,G,0,14,7
,C,9,15,16
,P,5,27,7

Round 47
,G,2,8,12
,C,8,21,16
,P,2,23,8

Round 48
,G,4,13,8
,C,9,16,22
,P,4,16,8

Round 49
,G,3,11,5
,C,11,25,21
,P,3,19,2

Round 50
,G,0,11,9
,C,5,31,23
,P,3,16,2

Round 51
,G,1,19,23
,C,2,20,16
,P,0,12,7

Round 52
,G,2,20,19
,C,0,21,16
,P,4,12,6

Round 53
,G,1,23,9
,C,4,23,18
,P,1,8,13

Round 54
,G,1,19,13
,C,5,22,19
,P,2,13,6

Round 55
,G,0,28,30
,C,0,22,5
,P,1,14,0

Round 56
,G,1,18,12
,C,8,21,21
,P,2,7,10

Round 57
,G,0,14,18
,C,5,27,20
,P,1,10,5

Round 58
,G,2,16,8
,C,11,20,23
,P,4,13,3

Round 59
,G,2,11,9
,C,11,19,22
,P,8,11,7

Round 60
,G,0,9,15
,C,16,24,17
,P,5,14,0

Round 61
,G,3,14,11
,C,16,15,24
,P,0,15,2

Round 62
,G,0,14,3
,C,24,16,18
,P,7,18,0

Round 63
,G,3,8,9
,C,15,23,29
,P,0,12,1

Round 64
,G,0,5,5
,C,17,26,29
,P,0,18,0

Round 65
,G,2,10,2
,C,17,23,25
,P,2,19,0

Round 66
,G,2,12,7
,C,18,17,22
,P,3,17,2

Round 67
,G,0,10,18
,C,15,27,18
,P,6,5,1

Round 68
,G,2,9,8
,C,17,25,23
,P,3,11,2

Round 69
,G,0,8,8
,C,13,19,31
,P,6,13,2

Round 70
,G,0,11,12
,C,13,17,29
,P,1,13,4

Round 71
,G,1,9,11
,C,12,21,24
,P,6,11,5

Round 72
,G,1,14,10
,C,26,9,19
,P,3,17,1

Round 73
,G,2,11,4
,C,25,31,13
,P,4,10,0

Round 74
,G,1,18,7
,C,29,29,6
,P,4,6,0

Round 75
,G,1,15,8
,C,18,20,17
,P,10,10,1

Round 76
,G,3,14,8
,C,18,25,22
,P,4,3,3

Round 77
,G,1,12,8
,C,18,26,17
,P,3,11,4

Round 78
,G,2,8,12
,C,17,29,11
,P,4,11,6

Round 79
,G,0,6,13
,C,16,18,22
,P,2,19,4

Round 80
,G,3,13,8
,C,17,8,22
,P,8,17,4

Round 81
,G,0,1,1
,C,20,20,40
,P,4,6,8

Round 82
,G,0,0,2
,C,20,29,26
,P,11,4,8

Round 83
,G,0,0,6
,C,27,20,27
,P,9,7,4

Round 84
,G,0,5,5
,C,32,23,15
,P,14,6,0

Round 85
,G,4,3,3
,C,27,22,20
,P,14,5,2

Round 86
,G,4,3,6
,C,26,19,19
,P,9,12,2

Round 87
,G,2,6,2
,C,32,17,28
,P,2,7,4

Round 88
,G,4,4,3
,C,34,20,21
,P,4,10,0

Round 89
,G,1,1,0
,C,41,30,13
,P,3,10,1

Round 90
,G,0,0,0
,C,52,36,9
,P,0,1,2

Round 91
,G,4,3,1
,C,29,27,19
,P,4,13,0

Round 92
,G,0,0,0
,C,50,16,18
,P,0,8,8

Round 93
,G,2,1,0
,C,35,16,28
,P,5,10,3

Round 94
,G,1,2,0
,C,39,22,20
,P,3,9,4

Round 95
,G,2,3,6
,C,34,24,13
,P,6,12,0

Round 96
,G,12,2,2
,C,53,18,5
,P,2,5,1

Round 97
,G,4,1,0
,C,54,24,8
,P,3,5,1

Round 98
,G,0,0,0
,C,97,1,2
,P,0,0,0

Round 99
,G,4,3,0
,C,66,14,8
,P,3,1,1

Round 100
,G,1,0,0
,C,98,0,1
,P,0,0,0

Round 101
,G,6,1,1
,C,69,10,5
,P,4,3,1

Round 102
,G,0,0,0
,C,92,0,7
,P,0,0,1

Round 103
,G,1,0,0
,C,78,7,7
,P,3,1,3

Round 104
,G,0,0,0
,C,88,2,9
,P,0,0,1

Round 105
,G,2,0,0
,C,63,7,14
,P,11,0,3

Round 106
,G,0,1,0
,C,86,2,8
,P,0,2,1

Round 107
,G,0,2,0
,C,48,14,14
,P,15,7,0

Round 108
,G,0,0,0
,C,94,2,4
,P,0,0,0

Round 109
,G,6,0,0
,C,67,10,4
,P,9,2,2

Round 110
,G,1,0,0
,C,89,4,2
,P,2,1,1

Round 111
,G,1,1,2
,C,59,8,9
,P,16,4,0

Round 112
,G,0,0,0
,C,96,1,3
,P,0,0,0

Round 113
,G,1,1,0
,C,54,19,4
,P,20,1,0

Round 114
,G,0,1,1
,C,57,11,11
,P,13,6,0

Round 115
,G,0,2,0
,C,53,12,6
,P,18,7,2

Round 116
,G,0,0,0
,C,51,8,10
,P,22,6,3

Round 117
,G,3,0,0
,C,42,11,7
,P,30,7,0

Round 118
,G,1,4,3
,C,57,10,9
,P,11,5,0

Round 119
,G,2,4,0
,C,33,14,16
,P,16,11,4

Round 120
,G,1,1,1
,C,55,13,5
,P,14,7,3

Round 121
,G,6,8,7
,C,29,11,10
,P,9,12,8

Round 122
,G,2,1,1
,C,87,1,2
,P,1,3,2

Round 123
,G,4,4,6
,C,21,18,18
,P,9,14,6

Round 124
,G,7,6,2
,C,26,21,17
,P,9,10,2

Round 125
,G,2,3,3
,C,54,15,7
,P,4,10,2

Round 126
,G,3,2,2
,C,77,7,3
,P,3,3,0

