Round,a\b,G,C,P
Round 1
,G,1,2,97
,C,0,0,0
,P,0,0,0

Round 2
,G,0,0,0
,C,0,0,0
,P,1,98,1

Round 3
,G,0,0,0
,C,95,1,4
,P,0,0,0

Round 4
,G,1,14,46
,C,0,0,0
,P,2,22,15

Round 5
,G,0,0,0
,C,4,48,3
,P,2,41,2

Round 6
,G,0,9,9
,C,16,16,17
,P,8,25,0

Round 7
,G,5,15,3
,C,23,12,9
,P,6,25,2

Round 8
,G,3,23,10
,C,23,4,12
,P,9,14,2

Round 9
,G,12,17,3
,C,26,10,10
,P,1,20,1

Round 10
,G,12,28,3
,C,19,6,10
,P,4,17,1

Round 11
,G,3,24,12
,C,40,2,3
,P,1,15,0

Round 12
,G,7,44,2
,C,40,0,3
,P,1,3,0

Round 13
,G,3,35,5
,C,43,0,4
,P,5,5,0

Round 14
,G,12,25,13
,C,15,3,11
,P,10,9,2

Round 15
,G,2,17,11
,C,30,0,8
,P,12,13,7

Round 16
,G,3,20,18
,C,21,4,3
,P,7,6,18

Round 17
,G,0,11,16
,C,16,3,13
,P,23,13,5

Round 18
,G,0,2,33
,C,12,10,10
,P,11,19,3

Round 19
,G,1,6,26
,C,17,1,6
,P,26,12,5

Round 20
,G,2,4,32
,C,9,4,18
,P,10,17,4

Round 21
,G,0,0,16
,C,2,2,16
,P,31,30,3

Round 22
,G,2,1,32
,C,4,0,26
,P,28,3,4

Round 23
,G,2,4,31
,C,0,0,0
,P,30,26,7

Round 24
,G,0,3,23
,C,18,0,5
,P,31,6,14

Round 25
,G,1,12,34
,C,0,0,5
,P,19,18,11

Round 26
,G,1,1,17
,C,14,0,15
,P,35,7,10

Round 27
,G,5,12,35
,C,1,0,8
,P,20,16,3

Round 28
,G,1,1,15
,C,14,7,11
,P,36,5,10

Round 29
,G,9,2,47
,C,1,0,12
,P,5,23,1

Round 30
,G,0,0,19
,C,15,7,3
,P,39,7,10

Round 31
,G,1,0,48
,C,0,0,1
,P,25,25,0

Round 32
,G,0,0,9
,C,12,2,17
,P,45,13,2

Round 33
,G,1,13,45
,C,0,3,12
,P,7,16,3

Round 34
,G,0,0,0
,C,3,0,1
,P,88,6,2

Round 35
,G,0,6,88
,C,0,0,4
,P,0,1,1

Round 36
,G,0,0,0
,C,3,0,1
,P,90,3,3

Round 37
,G,2,4,88
,C,0,0,4
,P,0,1,1

Round 38
,G,0,0,0
,C,3,0,1
,P,87,4,5

Round 39
,G,1,6,77
,C,1,0,5
,P,0,2,8

Round 40
,G,0,1,1
,C,3,0,2
,P,86,3,4

Round 41
,G,1,1,95
,C,0,0,2
,P,0,0,1

Round 42
,G,2,22,12
,C,1,1,4
,P,6,16,36

Round 43
,G,5,0,13
,C,13,2,21
,P,22,6,18

Round 44
,G,1,10,20
,C,1,1,11
,P,10,26,20

Round 45
,G,0,3,12
,C,8,7,25
,P,20,7,18

Round 46
,G,0,5,27
,C,3,3,6
,P,16,29,11

Round 47
,G,1,2,19
,C,2,5,24
,P,27,15,5

Round 48
,G,0,3,25
,C,1,4,17
,P,22,22,6

Round 49
,G,0,2,20
,C,4,5,23
,P,28,13,5

Round 50
,G,0,0,30
,C,5,7,8
,P,16,28,6

Round 51
,G,2,3,14
,C,2,11,22
,P,29,10,7

Round 52
,G,1,2,26
,C,3,2,20
,P,22,24,0

Round 53
,G,0,0,24
,C,2,1,21
,P,24,26,2

Round 54
,G,0,9,29
,C,1,2,10
,P,9,31,9

Round 55
,G,0,1,15
,C,6,8,21
,P,31,12,6

Round 56
,G,3,8,26
,C,1,4,13
,P,15,27,3

Round 57
,G,3,2,9
,C,4,14,21
,P,25,11,11

Round 58
,G,0,5,27
,C,1,9,15
,P,8,28,7

Round 59
,G,0,1,8
,C,7,8,24
,P,27,15,10

Round 60
,G,1,6,10
,C,9,2,15
,P,23,30,4

Round 61
,G,1,6,13
,C,0,2,29
,P,11,29,9

Round 62
,G,1,0,11
,C,3,2,35
,P,11,23,14

Round 63
,G,1,4,8
,C,3,3,20
,P,11,34,16

Round 64
,G,1,1,9
,C,9,0,31
,P,8,25,16

Round 65
,G,1,10,8
,C,1,3,19
,P,11,34,13

Round 66
,G,2,1,7
,C,9,1,38
,P,8,17,17

Round 67
,G,1,10,8
,C,1,3,22
,P,9,40,6

Round 68
,G,1,5,10
,C,11,6,31
,P,11,15,10

Round 69
,G,1,10,12
,C,4,6,16
,P,10,33,8

Round 70
,G,3,6,9
,C,12,8,28
,P,13,11,10

Round 71
,G,2,9,14
,C,5,5,21
,P,9,27,8

Round 72
,G,1,4,10
,C,12,2,36
,P,13,21,1

Round 73
,G,4,9,14
,C,7,3,14
,P,10,36,3

Round 74
,G,1,2,11
,C,7,5,35
,P,10,28,1

Round 75
,G,3,13,13
,C,4,5,21
,P,9,28,4

Round 76
,G,1,4,8
,C,17,8,22
,P,13,22,5

Round 77
,G,6,14,14
,C,12,5,10
,P,10,27,2

Round 78
,G,6,8,5
,C,14,8,31
,P,12,12,4

Round 79
,G,3,18,13
,C,11,10,9
,P,6,28,2

Round 80
,G,3,9,4
,C,24,13,23
,P,12,12,0

Round 81
,G,1,15,19
,C,2,8,8
,P,1,44,2

Round 82
,G,0,1,0
,C,10,36,25
,P,10,17,1

Round 83
,G,1,8,9
,C,1,34,21
,P,0,25,1

Round 84
,G,0,2,1
,C,13,33,22
,P,6,21,2

Round 85
,G,0,9,10
,C,4,36,18
,P,1,22,0

Round 86
,G,0,3,1
,C,10,46,13
,P,8,16,3

Round 87
,G,0,11,6
,C,4,42,15
,P,0,18,4

Round 88
,G,0,9,0
,C,13,33,22
,P,2,21,0

Round 89
,G,0,6,11
,C,6,45,13
,P,1,17,1

Round 90
,G,0,6,0
,C,6,40,20
,P,10,16,2

Round 91
,G,0,9,8
,C,5,45,16
,P,1,14,2

Round 92
,G,0,6,1
,C,3,41,22
,P,14,13,0

Round 93
,G,0,2,14
,C,8,46,12
,P,1,17,0

Round 94
,G,0,4,2
,C,5,54,9
,P,6,19,1

Round 95
,G,0,9,2
,C,6,65,9
,P,2,7,0

Round 96
,G,0,4,1
,C,8,73,7
,P,1,6,0

Round 97
,G,0,7,2
,C,4,64,12
,P,1,10,0

Round 98
,G,0,8,1
,C,10,45,15
,P,5,16,0

Round 99
,G,0,7,6
,C,6,52,12
,P,1,16,0

Round 100
,G,0,2,0
,C,15,45,20
,P,14,3,1

Round 101
,G,1,7,4
,C,10,26,26
,P,4,12,10

Round 102
,G,5,3,7
,C,16,10,17
,P,8,32,2

Round 103
,G,5,14,6
,C,7,11,31
,P,6,18,2

Round 104
,G,5,11,5
,C,13,22,12
,P,5,25,2

Round 105
,G,2,10,7
,C,8,18,36
,P,7,11,1

Round 106
,G,1,9,5
,C,15,16,8
,P,8,36,2

Round 107
,G,1,11,11
,C,8,15,36
,P,5,13,0

Round 108
,G,1,6,3
,C,8,21,17
,P,13,24,7

Round 109
,G,3,14,8
,C,4,16,32
,P,8,12,3

Round 110
,G,0,6,3
,C,3,28,12
,P,7,32,9

Round 111
,G,1,11,5
,C,5,32,33
,P,5,6,2

Round 112
,G,1,2,4
,C,9,37,4
,P,3,40,0

Round 113
,G,7,14,0
,C,1,23,42
,P,6,7,0

Round 114
,G,3,2,5
,C,13,26,9
,P,6,36,0

Round 115
,G,0,9,13
,C,14,25,26
,P,5,8,0

Round 116
,G,1,2,2
,C,4,39,5
,P,6,41,0

Round 117
,G,4,11,9
,C,5,20,31
,P,5,9,6

Round 118
,G,3,9,2
,C,4,23,9
,P,14,29,7

Round 119
,G,2,6,12
,C,12,22,33
,P,7,6,0

Round 120
,G,5,3,7
,C,15,12,14
,P,5,33,6

Round 121
,G,9,4,5
,C,15,9,23
,P,16,10,9

Round 122
,G,0,6,20
,C,1,3,30
,P,6,14,20

Round 123
,G,0,1,5
,C,5,2,18
,P,22,30,17

Round 124
,G,0,2,23
,C,1,3,32
,P,1,8,30

Round 125
,G,0,0,2
,C,1,0,8
,P,27,33,29

Round 126
,G,1,2,26
,C,1,2,27
,P,2,14,25

Round 127
,G,0,0,1
,C,1,0,16
,P,32,32,18

Round 128
,G,0,1,29
,C,1,2,30
,P,3,16,18

Round 129
,G,0,0,4
,C,3,9,12
,P,28,26,18

Round 130
,G,0,4,31
,C,1,10,25
,P,4,10,15

Round 131
,G,1,0,2
,C,1,4,17
,P,37,25,13

Round 132
,G,0,2,30
,C,1,7,23
,P,1,16,20

Round 133
,G,0,3,2
,C,2,7,9
,P,31,27,19

Round 134
,G,0,0,34
,C,0,4,36
,P,3,7,16

Round 135
,G,0,0,5
,C,5,7,5
,P,32,31,15

Round 136
,G,0,3,28
,C,0,6,30
,P,4,9,20

Round 137
,G,0,0,2
,C,2,6,9
,P,34,29,18

Round 138
,G,1,1,23
,C,1,7,29
,P,3,17,18

Round 139
,G,0,1,5
,C,5,10,15
,P,26,24,14

Round 140
,G,0,4,28
,C,1,7,28
,P,2,13,17

Round 141
,G,1,0,1
,C,1,6,10
,P,33,38,10

Round 142
,G,2,1,32
,C,10,15,17
,P,2,16,5

Round 143
,G,0,6,5
,C,5,7,18
,P,30,17,12

Round 144
,G,4,0,32
,C,7,7,19
