Round,a\b,G,C,P
Round 1
,G,8,22,43
,C,17,0,7
,P,1,1,1

Round 2
,G,0,0,3
,C,0,0,96
,P,0,0,1

Round 3
,G,2,0,2
,C,53,0,41
,P,1,0,1

Round 4
,G,2,0,1
,C,13,0,39
,P,33,0,12

Round 5
,G,1,0,0
,C,2,0,3
,P,82,0,12

Round 6
,G,0,16,8
,C,1,40,27
,P,0,7,1

Round 7
,G,2,19,0
,C,18,2,36
,P,1,22,0

Round 8
,G,12,13,3
,C,19,15,15
,P,7,16,0

Round 9
,G,1,24,1
,C,25,2,24
,P,0,23,0

Round 10
,G,11,9,7
,C,26,19,14
,P,2,12,0

Round 11
,G,12,14,0
,C,30,15,15
,P,8,6,0

Round 12
,G,19,6,0
,C,31,1,0
,P,22,21,0

Round 13
,G,4,13,12
,C,40,1,1
,P,12,14,3

Round 14
,G,3,15,14
,C,41,0,0
,P,14,13,0

Round 15
,G,2,3,16
,C,24,4,9
,P,24,14,4

Round 16
,G,0,15,5
,C,14,9,20
,P,20,10,7

Round 17
,G,1,25,2
,C,7,2,26
,P,30,4,3

Round 18
,G,5,7,5
,C,9,6,14
,P,42,9,3

Round 19
,G,5,5,6
,C,8,10,17
,P,32,12,5

Round 20
,G,0,7,0
,C,14,16,14
,P,23,19,7

Round 21
,G,0,12,14
,C,17,9,6
,P,29,9,4

Round 22
,G,8,12,4
,C,14,2,15
,P,20,20,5

Round 23
,G,5,15,5
,C,20,5,13
,P,11,21,5

Round 24
,G,12,8,7
,C,11,2,9
,P,27,14,10

Round 25
,G,2,4,11
,C,15,5,9
,P,22,20,12

Round 26
,G,7,13,7
,C,28,1,2
,P,16,15,11

Round 27
,G,3,6,11
,C,20,3,6
,P,22,16,13

Round 28
,G,2,13,16
,C,20,6,6
,P,31,6,0

Round 29
,G,8,11,15
,C,12,4,3
,P,39,4,4

Round 30
,G,1,2,11
,C,6,7,6
,P,31,14,22

Round 31
,G,27,2,4
,C,2,0,0
,P,51,12,2

Round 32
,G,1,1,46
,C,0,0,0
,P,50,0,2

Round 33
,G,1,1,29
,C,0,0,1
,P,50,0,18

Round 34
,G,7,0,27
,C,1,0,1
,P,43,2,19

Round 35
,G,2,2,29
,C,2,0,2
,P,43,0,20

Round 36
,G,8,2,28
,C,0,0,4
,P,42,10,6

Round 37
,G,2,1,44
,C,1,0,0
,P,49,0,3

Round 38
,G,1,0,45
,C,1,0,4
,P,45,1,3

Round 39
,G,15,0,20
,C,0,2,0
,P,20,28,15

Round 40
,G,2,1,36
,C,0,2,3
,P,37,10,9

Round 41
,G,3,4,13
,C,4,1,10
,P,35,23,7

Round 42
,G,6,4,13
,C,0,0,8
,P,43,10,16

Round 43
,G,5,2,16
,C,2,0,10
,P,34,12,19

Round 44
,G,1,0,16
,C,1,0,26
,P,38,12,6

Round 45
,G,2,5,19
,C,2,5,15
,P,37,10,5

Round 46
,G,0,4,20
,C,5,5,13
,P,35,11,7

Round 47
,G,0,4,15
,C,4,2,18
,P,31,17,9

Round 48
,G,4,0,10
,C,9,1,14
,P,21,25,16

Round 49
,G,0,2,22
,C,3,1,22
,P,28,20,2

Round 50
,G,1,2,11
,C,0,1,14
,P,24,34,13

Round 51
,G,0,4,21
,C,0,2,21
,P,25,23,4

Round 52
,G,0,2,21
,C,2,2,21
,P,20,27,5

Round 53
,G,2,2,20
,C,0,3,21
,P,14,29,9

Round 54
,G,0,1,21
,C,1,1,9
,P,19,31,17

Round 55
,G,0,1,20
,C,2,1,12
,P,15,34,15

Round 56
,G,0,1,23
,C,0,1,22
,P,13,36,4

Round 57
,G,0,5,23
,C,0,3,17
,P,12,35,5

Round 58
,G,2,8,14
,C,0,8,22
,P,15,25,6

Round 59
,G,0,10,14
,C,1,2,13
,P,13,37,10

Round 60
,G,0,9,11
,C,0,1,17
,P,9,45,8

Round 61
,G,2,3,18
,C,1,2,10
,P,18,36,10

Round 62
,G,0,5,16
,C,1,3,1
,P,10,48,16

Round 63
,G,0,6,16
,C,0,1,9
,P,8,51,9

Round 64
,G,1,8,20
,C,0,2,11
,P,9,48,1

Round 65
,G,2,10,18
,C,1,1,15
,P,16,35,2

Round 66
,G,0,5,21
,C,0,2,9
,P,16,37,10

Round 67
,G,0,7,19
,C,0,3,6
,P,5,57,3

Round 68
,G,0,6,20
,C,1,3,7
,P,11,46,6

Round 69
,G,0,3,22
,C,1,8,8
,P,15,35,8

Round 70
,G,0,8,19
,C,3,14,12
,P,10,33,1

Round 71
,G,11,26,16
,C,0,1,5
,P,11,29,1

Round 72
,G,0,95,2
,C,0,1,0
,P,0,2,0

Round 73
,G,2,75,7
,C,0,2,4
,P,3,6,1

Round 74
,G,1,93,2
,C,0,2,0
,P,0,2,0

Round 75
,G,1,84,7
,C,0,2,4
,P,0,1,1

Round 76
,G,4,45,22
,C,0,6,17
,P,0,4,2

Round 77
,G,3,39,26
,C,0,4,15
,P,0,7,6

Round 78
,G,3,25,32
,C,1,7,24
,P,1,4,3

Round 79
,G,8,7,43
,C,0,9,31
,P,0,1,1

Round 80
,G,1,15,45
,C,0,7,23
,P,0,0,9

Round 81
,G,2,15,26
,C,1,21,14
,P,4,5,12

Round 82
,G,1,4,42
,C,5,1,1
,P,43,2,1

Round 83
,G,6,7,36
,C,0,6,6
,P,28,8,3

Round 84
,G,11,10,33
,C,1,9,5
,P,21,3,7

Round 85
,G,2,5,41
,C,2,2,5
,P,40,2,1

Round 86
,G,4,4,42
,C,0,3,7
,P,36,4,0

Round 87
,G,3,10,29
,C,2,3,9
,P,29,13,2

Round 88
,G,2,2,47
,C,0,2,3
,P,43,0,1

Round 89
,G,1,4,43
,C,1,1,2
,P,43,3,2

Round 90
,G,3,5,42
,C,1,1,4
,P,36,6,2

Round 91
,G,3,25,28
,C,2,9,18
,P,8,3,4

Round 92
,G,2,43,23
,C,2,6,23
,P,0,0,1

Round 93
,G,1,7,40
,C,3,3,6
,P,26,13,1

Round 94
,G,5,10,38
,C,1,3,6
,P,33,2,2

Round 95
,G,2,12,38
,C,2,3,4
,P,32,3,4

Round 96
,G,1,3,43
,C,1,2,3
,P,40,6,1

Round 97
,G,1,4,42
,C,0,1,3
,P,42,6,1

Round 98
,G,1,6,38
,C,0,1,6
,P,35,13,0

Round 99
,G,1,3,44
,C,2,1,3
,P,42,4,0

Round 100
,G,1,3,44
,C,0,1,3
,P,43,4,1

Round 101
,G,2,4,40
,C,3,5,2
,P,35,7,2

Round 102
,G,3,4,34
,C,3,6,6
,P,27,14,3

Round 103
,G,1,3,42
,C,0,4,2
,P,41,5,2

Round 104
,G,2,5,27
,C,0,18,11
,P,24,10,3

Round 105
,G,0,1,46
,C,1,3,1
,P,45,2,1

Round 106
,G,0,2,41
,C,0,5,5
,P,38,8,1

Round 107
,G,0,0,46
,C,1,4,3
,P,45,1,0

Round 108
,G,2,4,41
,C,1,3,2
,P,40,5,2

Round 109
,G,2,8,32
,C,1,7,4
,P,31,9,6

Round 110
,G,2,3,37
,C,2,6,7
,P,33,8,2

Round 111
,G,0,0,46
,C,1,6,3
,P,23,21,0

Round 112
,G,1,2,44
,C,0,2,4
,P,42,5,0

Round 113
,G,1,3,43
,C,0,4,3
,P,41,4,1

Round 114
,G,0,1,48
,C,0,2,1
,P,1,47,0

Round 115
,G,0,2,42
,C,1,3,3
,P,37,9,3

Round 116
,G,0,3,45
,C,0,6,1
,P,3,40,2

Round 117
,G,1,4,38
,C,0,4,4
,P,31,15,3

Round 118
,G,2,6,36
,C,0,6,6
,P,31,9,4

Round 119
,G,0,3,43
,C,0,16,4
,P,3,30,1

Round 120
,G,1,2,45
,C,1,2,2
,P,43,2,2

Round 121
,G,0,1,48
,C,0,27,0
,P,2,21,1

Round 122
,G,0,0,50
,C,0,2,0
,P,2,46,0

Round 123
,G,0,0,48
,C,0,21,2
,P,1,28,0

Round 124
,G,0,5,44
,C,0,3,2
,P,3,40,3

Round 125
,G,0,8,40
,C,0,2,2
,P,6,39,3

Round 126
,G,0,10,38
,C,0,5,4
,P,8,31,4

Round 127
,G,0,9,38
,C,0,1,4
,P,8,36,4

Round 128
,G,0,5,44
,C,0,1,2
,P,4,41,3

Round 129
,G,1,5,44
,C,0,2,2
,P,2,42,2

Round 130
,G,0,8,43
,C,1,0,2
,P,6,38,2

Round 131
,G,0,26,24
,C,0,19,26
,P,1,3,1

Round 132
,G,1,1,47
,C,0,43,1
,P,0,6,1

Round 133
,G,0,2,48
,C,0,44,1
,P,1,4,0

Round 134
,G,0,17,28
,C,0,12,16
,P,10,10,7

Round 135
,G,0,16,29
,C,0,7,11
,P,10,22,5

Round 136
,G,0,14,29
,C,1,9,16
,P,6,17,8

Round 137
,G,0,14,31
,C,1,10,15
,P,13,16,0

Round 138
,G,1,14,31
,C,0,9,16
,P,14,15,0

Round 139
,G,0,18,27
,C,1,8,15
,P,9,19,3

Round 140
,G,0,5,46
,C,0,0,3
,P,2,44,0

Round 141
,G,1,15,23
,C,0,7,14
,P,14,21,5

Round 142
,G,2,14,26
,C,9,4,13
,P,14,15,3

Round 143
,G,0,14,28
,C,1,13,15
,P,12,17,0

Round 144
,G,1,12,29
,C,0,9,10
,P,18,18,3

Round 145
,G,0,13,30
,C,0,11,11
,P,21,13,1

Round 146
,G,2,13,28
,C,0,9,11
,P,16,17,4

Round 147
,G,0,14,28
,C,0,8,11
,P,19,17,3

Round 148
,G,0,16,25
,C,8,3,14
,P,16,16,2

Round 149
,G,1,15,27
,C,10,2,14
,P,15,15,1

Round 150
,G,1,12,30
,C,10,4,12
,P,13,17,1

Round 151
,G,1,15,29
,C,9,3,12
,P,16,13,2

Round 152
,G,0,15,32
,C,0,8,14
,P,14,16,1

Round 153
,G,0,14,30
,C,0,11,13
,P,18,14,0

Round 154
,G,0,17,28
,C,0,7,14
,P,16,16,2

Round 155
,G,0,12,33
,C,1,11,10
,P,19,13,1

Round 156
,G,0,20,28
,C,0,6,12
,P,7,23,4

Round 157
,G,1,15,28
,C,8,4,13
,P,12,17,2

Round 158
,G,0,26,26
,C,0,2,13
,P,0,29,4

Round 159
,G,0,24,27
,C,0,9,15
,P,6,19,0

Round 160
,G,0,14,29
,C,0,15,13
,P,2,26,1

Round 161
,G,0,15,28
,C,12,3,14
,P,15,13,0

Round 162
,G,1,12,31
,C,10,2,12
,P,21,10,1

Round 163
,G,1,4,42
,C,2,1,2
,P,42,4,2

Round 164
,G,0,3,45
,C,2,1,3
,P,46,0,0

Round 165
,G,1,8,35
,C,3,3,7
,P,34,7,2

Round 166
,G,0,3,43
,C,2,0,3
,P,45,3,1

Round 167
,G,1,2,46
,C,0,2,2
,P,46,0,1

Round 168
,G,1,19,19
,C,1,16,16
,P,2,22,4

Round 169
,G,0,19,23
,C,1,10,15
,P,10,20,2

Round 170
,G,1,4,42
,C,3,1,1
,P,40,5,3

Round 171
,G,0,22,17
,C,0,19,20
,P,0,21,1

Round 172
,G,0,2,46
,C,0,2,1
,P,47,1,1

