Round,a\b,G,C,P
Round 1
,G,0,0,0
,C,0,0,0
,P,5,95,0

Round 2
,G,1,14,50
,C,0,0,0
,P,1,19,15

Round 3
,G,1,8,0
,C,20,16,17
,P,9,27,2

Round 4
,G,9,18,10
,C,12,16,15
,P,1,19,0

Round 5
,G,12,19,16
,C,18,0,6
,P,0,29,0

Round 6
,G,10,21,16
,C,23,5,10
,P,2,13,0

Round 7
,G,3,10,29
,C,23,8,5
,P,8,13,1

Round 8
,G,4,18,24
,C,23,2,15
,P,0,13,1

Round 9
,G,2,12,32
,C,21,0,11
,P,5,16,1

Round 10
,G,3,17,21
,C,16,0,23
,P,3,11,6

Round 11
,G,6,17,27
,C,9,4,19
,P,10,2,6

Round 12
,G,1,13,27
,C,13,12,17
,P,5,0,12

Round 13
,G,6,3,29
,C,9,7,15
,P,14,8,9

Round 14
,G,2,1,29
,C,13,4,20
,P,21,7,3

Round 15
,G,0,11,14
,C,13,1,25
,P,25,1,10

Round 16
,G,3,1,25
,C,13,3,24
,P,16,8,7

Round 17
,G,4,7,16
,C,13,5,30
,P,11,7,7

Round 18
,G,3,1,20
,C,13,13,19
,P,15,7,9

Round 19
,G,3,7,12
,C,16,12,27
,P,12,7,4

Round 20
,G,9,17,1
,C,18,1,35
,P,11,8,0

Round 21
,G,2,10,25
,C,4,6,18
,P,11,19,5

Round 22
,G,0,9,32
,C,0,7,14
,P,5,27,6

Round 23
,G,0,9,23
,C,2,4,19
,P,13,23,7

Round 24
,G,0,16,19
,C,2,10,15
,P,11,23,4

Round 25
,G,1,15,22
,C,0,11,13
,P,10,23,5

Round 26
,G,1,12,23
,C,1,10,16
,P,13,24,0

Round 27
,G,3,20,19
,C,7,7,17
,P,9,16,2

Round 28
,G,3,23,26
,C,5,10,17
,P,5,10,1

Round 29
,G,1,21,27
,C,2,10,14
,P,6,19,0

Round 30
,G,3,18,22
,C,7,4,22
,P,6,16,2

Round 31
,G,10,4,14
,C,9,1,30
,P,5,17,10

Round 32
,G,14,6,15
,C,8,5,23
,P,7,19,3

Round 33
,G,2,5,20
,C,4,10,23
,P,13,14,9

Round 34
,G,4,9,16
,C,6,5,28
,P,8,15,9

Round 35
,G,1,7,20
,C,5,7,27
,P,10,13,10

Round 36
,G,0,12,18
,C,9,5,27
,P,12,13,4

Round 37
,G,0,9,17
,C,14,6,20
,P,14,17,3

Round 38
,G,1,11,19
,C,9,7,22
,P,13,16,2

Round 39
,G,2,12,14
,C,15,6,21
,P,10,15,5

Round 40
,G,0,0,48
,C,0,16,3
,P,2,31,0

Round 41
,G,2,0,14
,C,17,3,42
,P,9,8,5

Round 42
,G,5,4,10
,C,13,8,35
,P,17,6,2

Round 43
,G,3,0,20
,C,41,2,10
,P,4,20,0

Round 44
,G,7,0,5
,C,23,8,28
,P,18,8,3

Round 45
,G,1,1,1
,C,30,10,25
,P,21,9,2

Round 46
,G,2,2,4
,C,29,12,24
,P,19,8,0

Round 47
,G,2,2,0
,C,27,12,26
,P,21,10,0

Round 48
,G,5,7,2
,C,18,6,27
,P,22,8,5

Round 49
,G,5,5,2
,C,17,12,30
,P,22,7,0

Round 50
,G,4,6,3
,C,22,13,18
,P,23,9,2

Round 51
,G,1,1,3
,C,29,16,23
,P,10,15,2

Round 52
,G,1,0,9
,C,18,11,31
,P,14,15,1

Round 53
,G,0,2,6
,C,19,15,26
,P,16,13,3

Round 54
,G,1,1,3
,C,21,14,27
,P,13,19,1

Round 55
,G,0,0,2
,C,27,19,22
,P,11,19,0

Round 56
,G,0,1,2
,C,17,23,20
,P,13,20,4

Round 57
,G,0,0,1
,C,19,26,21
,P,13,19,1

Round 58
,G,0,0,0
,C,30,31,3
,P,7,29,0

Round 59
,G,1,4,0
,C,20,20,24
,P,14,14,3

Round 60
,G,0,1,0
,C,10,23,40
,P,20,5,1

Round 61
,G,0,0,14
,C,1,30,22
,P,0,33,0

Round 62
,G,1,2,0
,C,4,40,21
,P,2,28,2

Round 63
,G,1,4,1
,C,5,30,24
,P,5,30,0

Round 64
,G,0,0,0
,C,16,67,0
,P,0,17,0

Round 65
,G,1,0,2
,C,13,45,13
,P,4,21,1

Round 66
,G,0,0,0
,C,4,90,2
,P,0,4,0

Round 67
